CJEM EDMUNDSTON,cjem@cjemfm.com,cjemfm.com
"CFJU (90'1) KEDGWICK,N.B.",cfjufm@rogers.com,rogers.com
"CHQC (105'7) SAINT-JOHN, N.B.",direction@chqc.ca,chqc.ca
CFBO 90 CJSE DIEPPE ,normand@cjse.ca ,cjse.ca 
CKMA 93'7 MIR-ACADIE,ckma@ckma.ca ,ckma.ca 
CFAI (101.1) EDMUNSTON ,musique@cfai.fm,cfai.fm
CKRO (97'1) POKEMOUCHE,janique@ckro.ca ,ckro.ca 
"CIEU (94,9M) CARLETON ",directionmusicale@cieufm.com,cieufm.com
"CJSO (101,7FM) SOREL ",valerie.ferland@cjso.qc.ca,cjso.qc.ca
CHNC(AM610) NEW CARLISLE/AMQUI,alain.rivart@hotmail.fr,hotmail.fr
"M105 (104,9A) GRANBY ",jean@m105.ca,m105.ca
CHME (94'9) LES ESCOUMAINS,nicolas_chme@yahoo.ca ,yahoo.ca 
"CHOX (97,5 )-LAPOCATIÈRE  ",musique@chox97.com,chox97.com
PR.CJIT FM (106'7) LAC MEGANTIC ,radiocjit@gmail.com,gmail.com
"CFIM (92,7) ILE DE LA MADELEINE",marjolaine@cfim.ca,cfim.ca
"CHLC (97,1)-BAIE COMEAU ",musique971-1005@globetrotter.net,globetrotter.net
"CHOE (95,3) MATANE ",juliecote@choefm.com  ,choefm.com  
"CHRM(105,3A) MATANE ",joanieallard@choefm.com ,choefm.com 
CIAX (98'3)WINDSOR,unitewindsor@qc.aira.com ,qc.aira.com 
CJAN (99'3) Asbestos,info@fm993.ca,fm993.ca
CFIN APALACHES (100'3),droy@passion-fm.com,passion-fm.com
CIBM (107'1) RIVIÈRE-DU-LOUP,promo@cibm107.com,cibm107.com
"CIEL (103,7) RIVIÈRE-DU-LOUP",dstpierre@cibm107.com,cibm107.com
CKNA (104'1) Natashquan ,radiockna@globetrotter.net ,globetrotter.net 
CKRB/COOL (103'5) St-Georges,louislabbe@radiobeauce.com ,radiobeauce.com 
MIX (99'7)  St-Georges,marcelrancourt@radiobeauce.com,radiobeauce.com
CKMN (96'5) RIMOUSKI,programmation@ckmn.fm,ckmn.fm
CKLE (92'9) Bathurst ,musique@ckle.fm,ckle.fm
CJLV (1570AM) LAVAL,alain.rivart@hotmail.fr,hotmail.fr
CJVD (100'1) VAUDREUIL,alain.rivart@hotmail.fr,hotmail.fr
RÉSEAUBLEU/GROUPERADIOSIMARD,bobpelo@videotron.ca,videotron.ca
"CIEL (103,7) RIVIÈRE-DU-LOUP",dstpierre@cibm107.com,cibm107.com
COOL (103'5) ST-GEORGE,louislabbe@radiobeauce.com ,radiobeauce.com 
CIQI (90'3) MONTMAGNY,m.cloutier@ciqifm.com,ciqifm.com
CJVD (100'1) VAUDREUIL,alain.rivart@hotmail.fr,hotmail.fr
"CFID (103,7) ACTON VALE",programmation@radio-acton.com ,radio-acton.com 
CKBN (90'5) BÉCANCOUR,programmation@ckbn.ca  ,ckbn.ca  
WKND QUÉBEC CJEC,john.pedulla@leclerccommunication.ca ,leclerccommunication.ca 
CHOI QUÉBEC,dh@radiox.com,radiox.com
ROCK 100.9 ,morencyg@hotmail.com ,hotmail.com 
"RYTHME CFGL (105,7)",etienne.gregoire@cogecodiffusion.com,cogecodiffusion.com
"NRJ FM CJDM (92,1) DRUMMOND ",marc.thibault@bellmedia.ca ,bellmedia.ca 
NRJ FM CIGB (102'3) MAURICIE ,marc.thibault@bellmedia.ca,bellmedia.ca
"NRJ FM CHIK (98,9) QUÉBEC ",marc.tanguay@bellmedia.ca,bellmedia.ca
"NRJ FM CKTF (104,1) OTTAWA ",pcroteau@rockdetente.astral.com ,rockdetente.astral.com 
"NRJ FM CKMF(94,3) MONTRÉAL",gmoreau@radio.astral.com ,radio.astral.com 
"NRJ FM CJAB (94,5) SAGUENAY ",david.tardif@bellmedia.ca,bellmedia.ca
"NRJ FM CIKI (98,7) RIMOUSKI ",francois.lafond@bellmedia.ca,bellmedia.ca
"NRJ FM CJMM (102,7) VAL D'OR ",francis.beauvais@bellmedia.ca,bellmedia.ca
"NRJ FM CJMV (99,1) ROUYN ",francis.beauvais@bellmedia.ca,bellmedia.ca
"NRJ FM CIMO (106,1) ESTRIE ",jeanfrancois.benoit@bellmedia.ca,bellmedia.ca
"ROUGE CHEY (94,7) MAURICIE",marc.thibault@bellmedia.ca,bellmedia.ca
"ROUGE CITF (107,5) QUÉBEC ",marc.tanguay@bellmedia.ca,bellmedia.ca
"ROUGE CIMF (94,9) OTTAWA ",pcroteau@rouge.astral.com ,rouge.astral.com 
"ROUGE CITÉ (107,3) MONTRÉAL",dtremblay@radio.astral.com,radio.astral.com
ROUGE CHRD () DRUMMONDVILLE,marc.thibault@bellmedia.ca,bellmedia.ca
ROUGE CFIX (96'9) SAGUENAY,marc.thibault@bellmedia.ca,bellmedia.ca
ROUGE CJOI (99'9) AMQUI,francois.lafond@bellmedia.ca,bellmedia.ca
"ROUGE  (102,7) ESTRIE ",jeanfrancois.benoit@bellmedia.ca,bellmedia.ca
"ROUGE CIMM (102,9) RIMOUSKI",francois.lafond@bellmedia.ca,bellmedia.ca
"CKOI  FM (96,9)  MONTREAL",brouillard@ckoi.com ,ckoi.com 
CKOI (102'1) QUÉBEC,john.pedulla@leclerccommunication.ca,leclerccommunication.ca
"Planète Jazz  91,9)",dpoupart@rncmedia.ca,rncmedia.ca
Planète CHLX 97.1 (Gatineau) ,dfregault@rncmediaq.ca,rncmediaq.ca
Planète 99.5 (Roberval - Saint-Félicien),dpoupart@rncmedia.ca,rncmedia.ca
Planète 93.5 (Chibougamau - Chapais) ,dpoupart@rncmedia.ca,rncmedia.ca
Planète 100.3 (Dolbeau - Mistassini),dpoupart@rncmedia.ca,rncmedia.ca
Planète CFTX 96.5 (Abitibi -Témiscaminque),dpoupart@rncmedia.ca,rncmedia.ca
"Planète Lov 104.9, 102.1 (Lachute - Hawkesbury)",dpoupart@rncmedia.ca,rncmedia.ca
CKYK Almaa,dpoupart@rncmedia.ca,rncmedia.ca
SRC ESPACE.MU,diane.maheux@radio-canada.ca ,radio-canada.ca 
GALAXIE-FRANCOPOP  & TOP DÉTENTE,exuma@videotron.ca,videotron.ca
GALAXIE-FRANCO ATTITUDE,pcambron@stingraydigital.com ,stingraydigital.com 
RADIO SATELLITE (XM102),jp.lavoie@xmradio.ca ,xmradio.ca 
RADIO SATELLITE SIRIUS  ,francodiff@francodiff.org ,francodiff.org 
RFA,programmation@radiorfa.com,radiorfa.com
ARCQ,soutien@arcq.qc.ca,arcq.qc.ca
CISM,brasgauche@hotmail.com,hotmail.com
CKUT,cafe@ckut.ca ,ckut.ca 
CIBL,exuma@videotron.ca,videotron.ca
"CJRG (94,3) GASPÉ 30 ans 45ans ",jacques.henry@radiogaspesie.ca,radiogaspesie.ca
CIMS (103'9-96'7) BALMORAL N.B. ,donald@cimsfm.ca,cimsfm.ca
"CKUM (93,5M) MONCTON",dirm_ckum@live.com,live.com
"CFIM (92,7) ILE DE LA MADELEINE",marjolaine@cfim.ca,cfim.ca
CFBO (90'7) DIEPPE (PA),normand@cjse.ca ,cjse.ca 
CFAI EDMUNSTON (PR),musique@cfai.fm,cfai.fm
CHNC(AM610)NEW CARLISLE/AMQU,discothequechnc@globetrotter.net,globetrotter.net
CHQC (105'7) ST-JOHN N.B.,direction@chqc.ca ,chqc.ca 
CJPN (90'5) Frédéricton N.B.,jean.etienne.cjpn@nb.aibn.com,nb.aibn.com
CJSE MONCTON,cjse@cjse.ca ,cjse.ca 
CKMA 93'7 MIR-ACADIE,ckma@ckma.ca ,ckma.ca 
SRC N.B. MONCTON CBAF (88'5),glen.deveau@radio-canada.ca,radio-canada.ca
CFJU (90'1) RESTIGOUCHE,cfjufm@rogers.com,rogers.com
CJEM EDMUNDSTON,cjem@cjemfm.com,cjemfm.com
CKLE 92'9 Bathurst,musique@ckle.fm,ckle.fm
CKRO (97'1) POKEMOUCHE,janique@ckro.ca ,ckro.ca 
SRC I.P.É. CHARLOTTETOWN CBAF (88'1),audette.chiasson@cbc.ca,cbc.ca
CFLX ,cflx@cflx.qc.ca,cflx.qc.ca
"CIBL (101,5) ",disco@cibl1015.com,cibl1015.com
"CKIA-FM (88,3)",ckiafm@meduse.org,meduse.org
"CKRL-FM (89,1)",dirmusi@ckrl.qc.ca,ckrl.qc.ca
"CFOU 89,1",progcfou@uqtr.ca,uqtr.ca
CHOQ-FM UQAM,musique@choq.fm,choq.fm
"CHUO 89,1",musique@chuo.fm,chuo.fm
CHYZ-fm ,chyz-fm@public.ulaval.ca,public.ulaval.ca
"CISM 89,3 ",mroussy@cism893.ca,cism893.ca
CBAU,cbauinfo@cusb.ca,cusb.ca
"CFAK 88,3 ",musique@cfak.qc.ca,cfak.qc.ca
APC,mjoanisse.apcm@gmail.com,gmail.com
UQAR ,radiouqar@yahoo.com,yahoo.com
UQO ,musique@reel-radio.fm,reel-radio.fm
UQAT,christophe.poirier@uqat.ca,uqat.ca
CFBS Blanc Sablon FM 89'9,cfbs@globetrotter.net,globetrotter.net
CFID Acton Vale FM 103'7,programmation@radio-acton.com ,radio-acton.com 
CFIM Iles de la Madeleine FM 92'7,marjolaine@cfim.ca,cfim.ca
CFIN Lac Etchemin FM 100'5 & 103'9,npoulin@passion-fm.com,passion-fm.com
CFIN Lac Etchemin FM 100'5 & 103'9,droy@passion-fm.com,passion-fm.com
CFLX Sherbrooke FM 95'5,cflx@cflx.qc.ca,cflx.qc.ca
CFMF Fermont FM 103'1,cfmf103_1@diffusionfermont.ca,diffusionfermont.ca
CFNJ St-Gabriel Brandon Fm 99'1,nicolas@cfnj.net,cfnj.net
CFUT Shawinigan FM 91'1,steveb@radioshawinigan.com,radioshawinigan.com
CHAA Longueuil FM 103'3,fm1033@live.ca,live.ca
CHAI Chateauguay 101'9,chai@videotron.ca,videotron.ca
CHEF Matagami FM 99'9,meve.chef99fm@lino.com,lino.com
CHGA Maniwaki FM 07'3,gbuissieres@chga.fm,chga.fm
CHIP Fort-Coulonge FM 101'7,nathaliev@chipfm.com,chipfm.com
CHOC St-Rémi FM 104'9,studio@chocfm.com  ,chocfm.com  
CHOW Radio Boréale - Amos FM -105'3,coordonnatrice@radioboreale.com,radioboreale.com
CIAU Radisson FM 103'1,ciaufm@lino.com,lino.com
CIBL Montréal FM 101'5,exuma@videotron.ca,videotron.ca
CIBO Senneterre FM 100'5,cibo.fm@cableamos.com,cableamos.com
CIEU Carleton FM 94'9 & 106'1,directionmusicale@cieufm.com,cieufm.com
CIHO St-Hilarion FM 96'3 &105'9,ciho@charlevoix.net,charlevoix.net
CJFO Ottawa FM,rpaque@cjfofm.com,cjfofm.com
CIGN Coaticook FM 96'7,direction@cignfm.ca,cignfm.ca
CILE Havre St-Pierre FM 95'1,musique@cilemf.com,cilemf.com
CINQ Radio Centre-Ville FM 102'3,suzanne@radiocentreville.com,radiocentreville.com
CJBE Anticosti FM 90'5,radioanticosti@gmail.com ,gmail.com 
CJMD Lévis FM 96'9,programme@cjmdfm.com ,cjmdfm.com 
CJMQ Sherbrooke FM 88'9,cjmqnews@yahoo.ca,yahoo.ca
CJRG Gaspé FM 94'5,jacques.henry@radiogaspesie.ca,radiogaspesie.ca
CKAJ Saguenay FM 92'5,tristan.cloutier@gmail.com,gmail.com
CKBN Bécancour FM 90'5 & 95'4,production@ckbn.ca,ckbn.ca
CKIA Québec FM 88'3,ckiafm@meduse.org,meduse.org
CKMN Rimouski FM 96'5,rckmn@ckmn.fm,ckmn.fm
CKNA Natashquan FM 104'1,radiockna@globetrotter.net ,globetrotter.net 
CKRL Québec FM 89'1,dirmusi@ckrl.qc.ca,ckrl.qc.ca
CKVL Lasalle FM100'1,programmation@100-1fm.com,100-1fm.com
"CHAA (103,3M) LONGUEUIL",musique@fm1033.ca,fm1033.ca
"CKCN FM94,1 (94,1) SEPT-ILES ",nadia@le941.com,le941.com
"CJLM (M103,5A) JOLIETTE ",directionmusicalem1035@hotmail.com,hotmail.com
"CKVM (93,1) VILLE-MARIE ",disco@ckvm.qc.ca ,ckvm.qc.ca 
"CKGN (89,7Top40) KAPUSKASING ",musiqueckgn@hotmail.com,hotmail.com
"CINN (91,1M) HEARST ONT ",musique@cinnfm.com,cinnfm.com
"CIHO (96,3M) CHARLEVOIX",musique@cihofm.com ,cihofm.com 
"CIPC (99,1M) PORT CARTIER",directionmusicale@globetrotter.net,globetrotter.net
"CILE (95,1) HAVRE ST-PIERRE",musique@cilefm.com,cilefm.com
"CFID (103,7) ACTON VALE ",programmation@radio-acton.com,radio-acton.com
"CHAI (101,9M) CHATEAUGUAY ",chai@videotron.ca ,videotron.ca 
"CJRG (94,3) GASPÉ",jacques.henry@radiogaspesie.ca ,radiogaspesie.ca 
"CFRH (88,1)PENETANGUISHENE",directionmusicale@lacle.ca,lacle.ca
"CFNJ  (99,1)-ST-GABRIEL BRANDON",nicolas@cfnj.net ,cfnj.net 
CH2O (103'1) MASKINONGÉ/LOUISEVILLE,keven.plamondon@ch2ofm.ca,ch2ofm.ca
CJBE Anticosti FM 90'5 ,radioanticosti@gmail.com,gmail.com
"CKUM (93,5M) MONCTON",dirm_ckum@live.com,live.com
"CFLO (104,7A) MONT LAURIER",mpgirard@cflo.ca ,cflo.ca 
CIMS (103'9-96'7) BALMORAL N.B.,programmation@cimsfm.ca,cimsfm.ca
"CHOC (104,9) ST-RÉMI",studio@chocfm.com  ,chocfm.com  
"CFVD (95,5M) FiLLE DÉGELIS",discotheque@fm95.ca ,fm95.ca 
"CFMF (103,1M) FERMONT",cfmfmusique@live.ca,live.ca
"(0.97,3) VICTO ",dkegle@o973.com,o973.com
"CKLD.CFDA(105,5) VICTO/THETFORD",dkegle@o973.com,o973.com
CJEM EDMUNDSTON,cjem@cjemfm.com,cjemfm.com
"CFJU (90'1) KEDGWICK,N.B.",cfjufm@rogers.com,rogers.com
"CHQC (105'7) SAINT-JOHN, N.B.",direction@chqc.ca,chqc.ca
CFBO 90 CJSE DIEPPE ,normand@cjse.ca ,cjse.ca 
CKMA 93'7 MIR-ACADIE,ckma@ckma.ca ,ckma.ca 
CFAI EDMUNSTON ,musique@cfai.fm,cfai.fm
CKRO (97'1) POKEMOUCHE,janique@ckro.ca ,ckro.ca 
"CIEU (94,9M) CARLETON ",directionmusicale@cieufm.com,cieufm.com
"CJSO (101,7M) SOREL ",valerie.ferland@cjso.qc.ca,cjso.qc.ca
CHNC(AM610)NEW CARLISLE/AMQUI,alain.rivart@hotmail.fr,hotmail.fr
"CFXM(104,9A)M105 GRANBY ",jean@m105.ca,m105.ca
CHME (94'9) LES ESCOUMAINS,nicolas_chme@yahoo.ca ,yahoo.ca 
"CHOX (97,5 )-LAPOCATIÈRE  ",musique@chox97.com,chox97.com
CJIT FM (106'7) LAC MEGANTIC ,radiocjit@bellnet.ca,bellnet.ca
"CFIM (92,7) ILE DE LA MADELEINE",marjolaine@cfim.ca,cfim.ca
"CHLC (97,1)-BAIE COMEAU ",musique971-1005@globetrotter.net,globetrotter.net
"CHOE (95,3) MATANE ",juliecote@choefm.com  ,choefm.com  
"CHRM(105,3A) MATANE ",joanieallard@choefm.com ,choefm.com 
CIAX (98'3)WINDSOR,unitewindsor@qc.aira.com ,qc.aira.com 
CJAN (99'3) Asbestos,info@fm993.ca,fm993.ca
CFIN APALACHES (100'3),droy@passion-fm.com,passion-fm.com
CIBM (107'1) RIVIÈRE-DU-LOUP,promo@cibm107.com,cibm107.com
CKNA (104'1) Natashquan ,radiockna@globetrotter.net ,globetrotter.net 
CKRB/COOL (103'5) St-Georges,louislabbe@radiobeauce.com ,radiobeauce.com 
MIX (99'7)  St-Georges GrRadioSimard,marcelrancourt@radiobeauce.com,radiobeauce.com
CKMN (96'5) RIMOUSKI,programmation@ckmn.fm,ckmn.fm
CKLE (92'9) Bathurst ,musique@ckle.fm,ckle.fm
CJLV (1570AM) LAVAL,alain.rivart@hotmail.fr,hotmail.fr
CJVD (100'1) VAUDREUIL,alain.rivart@hotmail.fr,hotmail.fr
RÉSEAUBLEU/GROUPERADIOSIMARD,bobpelo@videotron.ca,videotron.ca
"CIEL (103,7) RIVIÈRE-DU-LOUP",dstpierre@cibm107.com,cibm107.com
COOL (103'5) ST-GEORGE,louislabbe@radiobeauce.com ,radiobeauce.com 
CIQI (90'3) MONTMAGNY ,m.cloutier@ciqifm.com,ciqifm.com
CJVD (100'1) VAUDREUIL,alain.rivart@hotmail.fr,hotmail.fr
"CFID (103,7) ACTON VALE ",programmation@radio-acton.com ,radio-acton.com 
CKBN (90'5) BÉCANCOUR,programmation@ckbn.ca  ,ckbn.ca  
WKND QUÉBEC CJEC,john.pedulla@leclerccommunication.ca,leclerccommunication.ca
CHOI QUÉBEC,dh@radiox.com,radiox.com
ROCK 100.9 ,morencyg@hotmail.com,hotmail.com
"RYTHME CJEB (100,1) MAURICIE",p.lamontagne@rythmefm.com,rythmefm.com
"RYTHME CFGL (105,7) ",lrandall@rythmefm.com ,rythmefm.com 
"RYTHME CFGE (93,7-98,1) ESTRIE",dominic.danjou@rythmefm.com ,rythmefm.com 
"NRJ FM CJDM (92,1) DRUMMOND ",marc.thibault@nrj.astral.com,nrj.astral.com
NRJ FM CIGB (102'3) MAURICIE ,marc.thibaultr@astral.com,astral.com
"NRJ FM CHIK (98,9) QUÉBEC ",jplemelin@astral.com,astral.com
"NRJ FM CKTF (104,1) OTTAWA ",pcroteau@rockdetente.astral.com ,rockdetente.astral.com 
"NRJ FM CKMF(94,3) MONTRÉAL",gmoreau@radio.astral.com ,radio.astral.com 
"NRJ FM CIKI (98,7) RIMOUSKI ",mario.fournier@astral.com,astral.com
"NRJ FM CIMO (106,1) ESTRIE ",mpoliquin@radio.astral.com ,radio.astral.com 
"ROUGE CHEY (94,7) MAURICIE",mario.fournier@astral.com,astral.com
"ROUGE CITF (107,5) QUÉBEC ",slavoie@rougefm.astral.com,rougefm.astral.com
"ROUGE CIMF (94,9) OTTAWA ",pcroteau@rouge.astral.com ,rouge.astral.com 
"ROUGE CITÉ (107,3) MONTRÉAL",dtremblay@radio.astral.com,radio.astral.com
ROUGE CHRD (105'3) DRUMMONDVILLE,mtanguay@rouge.astral.com,rouge.astral.com
"CFJO 97,3 CFJO VICTO",dkegle@o973.com,o973.com
"CKLD.CFDA(105,5) VICTO/THETFORD",dkegle@o973.com,o973.com
WKND (91'9) QUÉBEC CJEC,john.pedulla@leclerccommunication.ca,leclerccommunication.ca
"CKOI (96,9)  MONTREAL",brouillard@ckoi.com ,ckoi.com 
"CJSO (101,7M) SOREL ",valerie.ferland@cjso.qc.ca,cjso.qc.ca
"CJLM (M103,5A) JOLIETTE ",directionmusicalem1035@hotmail.com,hotmail.com
"CHLC (97,1)-BAIE COMEAU ",musique971-1005@globetrotter.net,globetrotter.net
"CFVD (95,5M) FiLLE DÉGELIS ",discotheque@fm95.ca ,fm95.ca 
"CHOX (97,5 )-LAPOCATIÈRE  ",musique@chox97.com,chox97.com
"CIPC (99,1M) PORT CARTIER ",directionmusicale@globetrotter.net,globetrotter.net
CIBM (107'1) RIVIÈRE-DU-LOUP,promo@cibm107.com,cibm107.com
"CKVM (93,1) VILLE-MARIE ",disco@ckvm.qc.ca ,ckvm.qc.ca 
"RYTHME CFGL (105,7)",etienne.gregoire@cogecodiffusion.com,cogecodiffusion.com
"NRJ FM CJDM (92,1) DRUMMOND ",marc.thibault@bellmedia.ca ,bellmedia.ca 
NRJ FM CIGB (102'3) MAURICIE ,marc.thibault@bellmedia.ca,bellmedia.ca
"NRJ FM CHIK (98,9) QUÉBEC ",marc.tanguay@bellmedia.ca,bellmedia.ca
"NRJ FM CKTF (104,1) OTTAWA ",pcroteau@rockdetente.astral.com ,rockdetente.astral.com 
"NRJ FM CKMF(94,3) MONTRÉAL",gmoreau@radio.astral.com ,radio.astral.com 
"NRJ FM CJAB (94,5) SAGUENAY ",david.tardif@bellmedia.ca,bellmedia.ca
"NRJ FM CIKI (98,7) RIMOUSKI ",francois.lafond@bellmedia.ca,bellmedia.ca
"NRJ FM CJMM (102,7) VAL D'OR ",francis.beauvais@bellmedia.ca,bellmedia.ca
"NRJ FM CJMV (99,1) ROUYN ",francis.beauvais@bellmedia.ca,bellmedia.ca
"NRJ FM CIMO (106,1) ESTRIE ",jeanfrancois.benoit@bellmedia.ca,bellmedia.ca
"ROUGE CHEY (94,7) MAURICIE",marc.thibault@bellmedia.ca,bellmedia.ca
"ROUGE CITF (107,5) QUÉBEC ",marc.tanguay@bellmedia.ca,bellmedia.ca
"ROUGE CIMF (94,9) OTTAWA ",pcroteau@rouge.astral.com ,rouge.astral.com 
"ROUGE CITÉ (107,3) MONTRÉAL",dtremblay@radio.astral.com,radio.astral.com
ROUGE CHRD () DRUMMONDVILLE,marc.thibault@bellmedia.ca,bellmedia.ca
"ROUGE CHEY (94,7) MAURICIE",marc.thibault@bellmedia.ca,bellmedia.ca
"ROUGE CITF (107,5) QUÉBEC ",francois.lafond@bellmedia.ca,bellmedia.ca
"ROUGE CHLX (102,7) ESTRIE ",jeanfrancois.benoit@bellmedia.ca,bellmedia.ca
"ROUGE CIMM (102,9) RIMOUSKI",francois.lafond@bellmedia.ca,bellmedia.ca
"CKOI  FM (96,9)  MONTREAL",brouillard@ckoi.com ,ckoi.com 
CKOI (102'1) QUÉBEC,john.pedulla@leclerccommunication.ca,leclerccommunication.ca
"Planète Jazz  91,9)",dpoupart@rncmedia.ca,rncmedia.ca
Planète CHLX 97.1 (Gatineau) ,dfregault@rncmediaq.ca,rncmediaq.ca
Planète 99.5 (Roberval - Saint-Félicien),dpoupart@rncmedia.ca,rncmedia.ca
Planète 93.5 (Chibougamau - Chapais) ,dpoupart@rncmedia.ca,rncmedia.ca
Planète 100.3 (Dolbeau - Mistassini),dpoupart@rncmedia.ca,rncmedia.ca
"Planète CFTX 96.5, Ott 103.5, 103.9 (Abitibi -Témiscaminque)",dpoupart@rncmedia.ca,rncmedia.ca
"Planète Lov 104.9, 102.1 (Lachute - Hawkesbury)",dpoupart@rncmedia.ca,rncmedia.ca
CKYK Almaa,dpoupart@rncmedia.ca,rncmedia.ca
SRC ESPACE.MU,diane.maheux@radio-canada.ca ,radio-canada.ca 
GALAXIE-FRANCOPOP  & TOP DÉTENTE,exuma@videotron.ca,videotron.ca
GALAXIE-FRANCO ATTITUDE,pcambron@stingraydigital.com ,stingraydigital.com 
RADIO SATELLITE (XM102),jp.lavoie@xmradio.ca ,xmradio.ca 
RADIO SATELLITE SIRIUS  ,francodiff@francodiff.org ,francodiff.org 
RFA,programmation@radiorfa.com,radiorfa.com
ARCQ,soutien@arcq.qc.ca,arcq.qc.ca
CISM,brasgauche@hotmail.com,hotmail.com
CKUT,cafe@ckut.ca ,ckut.ca 
CIBL,exuma@videotron.ca,videotron.ca
"CJRG (94,3) GASPÉ ",jacques.henry@radiogaspesie.ca,radiogaspesie.ca
CIMS (103'9-96'7),pubs@cimsfm.ca,cimsfm.ca
"CKUM (93,5M) MONCTON",dirm_ckum@live.com,live.com
"CFIM (92,7) ILE DE LA MADELEINE",marjolaine@cfim.ca,cfim.ca
CFBO (90'7) DIEPPE (PA),normand@cjse.ca ,cjse.ca 
CFAI EDMUNSTON (PR),musique@cfai.fm,cfai.fm
CHNC(AM610)NEW CARLISLE/AMQUI,discothequechnc@globetrotter.net,globetrotter.net
CHQC (105'7) ST-JOHN N.B.,direction@chqc.ca ,chqc.ca 
CJPN (90'5) Frédéricton N.B.,jean.etienne.cjpn@nb.aibn.com,nb.aibn.com
CJSE MONCTON,cjse@cjse.ca ,cjse.ca 
CKMA 93'7 MIR-ACADIE,ckma@ckma.ca ,ckma.ca 
SRC N.B. MONCTON CBAF (88'5),glen.deveau@radio-canada.ca,radio-canada.ca
CFJU (90'1) RESTIGOUCHE,cfjufm@rogers.com,rogers.com
CJEM EDMUNDSTON,cjem@cjemfm.com,cjemfm.com
CKLE 92'9 Bathurst,musique@ckle.fm,ckle.fm
CKRO (97'1) POKEMOUCHE,janique@ckro.ca ,ckro.ca 
SRC I.P.É. CHARLOTTETOWN CBAF (88'1),audette.chiasson@cbc.ca,cbc.ca
CFLX,cflx@cflx.qc.ca,cflx.qc.ca
"CIBL (101,5) ",disco@cibl1015.com,cibl1015.com
"CKIA-FM (88,3)",ckiafm@meduse.org,meduse.org
"CKRL-FM (89,1)",dirmusi@ckrl.qc.ca,ckrl.qc.ca
"CFOU 89,1",progcfou@uqtr.ca,uqtr.ca
CHOQ-FM UQAM ,musique@choq.fm,choq.fm
"CHUO 89,1",musique@chuo.fm,chuo.fm
CHYZ-fm 94.3,chyz-fm@public.ulaval.ca,public.ulaval.ca
"CISM 89,3  ",mroussy@cism893.ca,cism893.ca
CBAU,cbauinfo@cusb.ca,cusb.ca
"CFAK 88,3",musique@cfak.qc.ca,cfak.qc.ca
APC,mjoanisse.apcm@gmail.com,gmail.com
UQAR,radiouqar@yahoo.com,yahoo.com
UQO,musique@reel-radio.fm,reel-radio.fm
UQAT,christophe.poirier@uqat.ca,uqat.ca
CFBS Blanc Sablon FM 89'9,cfbs@globetrotter.net,globetrotter.net
CFID Acton Vale FM 103'7,programmation@radio-acton.com ,radio-acton.com 
CFIM Iles de la Madeleine FM 92'7,marjolaine@cfim.ca,cfim.ca
CFIN Lac Etchemin FM 100'5 & 103'9,npoulin@passion-fm.com,passion-fm.com
CFIN Lac Etchemin FM 100'5 & 103'9,droy@passion-fm.com,passion-fm.com
CFLX Sherbrooke FM 95'5,cflx@cflx.qc.ca,cflx.qc.ca
CFMF Fermont FM 103'1,cfmf103_1@diffusionfermont.ca,diffusionfermont.ca
